TRACER_BL,TRACER_GDS10_HTGL
TRACER_DD,TRACER_DD_GDS10_SFC
TRACER_WD,TRACER_WD_GDS10_SFC
TRA_SUM,TRA_SUM_GDS10_SFC
TSUM_S_B,TSUM_S_B_GDS10_SFC
TSUM_E_B,TSUM_E_B_GDS10_SFC
TTHRES_S_B,TTHRES_S_B_GDS10_SFC
TTHRES_E_B,TTHRES_E_B_GDS10_SFC
TTINDEX,TTINDEX_GDS10_SFC
TTOP_CON,TTOP_CON_GDS10_CTL
TW,TW_GDS10_*
TWATER,TWATER_GDS10_SFC
TW_2M,TW_GDS10_HTGL
T_2M,T_GDS10_HTGL
T_2M_AV,T_GDS10_HTGL_ave*
T_2M_BUZ,T_2M_BUZ_GDS10_HTGL
T_2M_K,T_2M_K_GDS10_HTGL
T_2M_OLD,T_2M_OLD_GDS10_HTGL
T_2M_S,T_2M_GDS10_HTGL
T_ANAI,T_ANAI_GDS10_*
T_B1_LK,T_B1_LK_GDS10_SFC
T_BOT_LK,T_BOT_LK_GDS10_SFC
T_BS_LK,T_BS_LK_GDS10_SFC
T_CL,T_GDS10_DBLL
T_G,T_GDS10_SFC
T_ICE,T_ICE_GDS10_SFC
T_M,T_GDS10_DBLL
T_MNW_LK,T_MNW_LK_GDS10_SFC
T_S,T_GDS10_DBLL
T_SNOW,T_SNOW_GDS10_SFC
T_SO,T_SO_GDS10_*
T_WML_LK,T_WML_LK_GDS10_SFC
Te-132,Te132_GDS10_*
Te-132_BL,Te132_GDS10_HTGL
Te-132_DD,Te132_DD_GDS10_SFC
Te-132_WD,Te132_WD_GDS10_SFC
U,U_GDS10_*
USTARMAX,USTARMAX_GDS10_HTGL
U_10M,U_GDS10_HTGL
U_10M_AV,U_GDS10_HTGL_ave*
V,V_GDS10_*
VB10M_20,VB10M_20_GDS10_HTGL
VB10M_25,VB10M_25_GDS10_HTGL
VB10M_30,VB10M_30_GDS10_HTGL
VB10M_35,VB10M_35_GDS10_HTGL
VB10M_40,VB10M_40_GDS10_HTGL
VB10M_45,VB10M_45_GDS10_HTGL
VB10M_50,VB10M_50_GDS10_HTGL
VBRA_10M,VBRA_GDS10_HTGL
VC10M_20,VC10M_20_GDS10_HTGL
VC10M_25,VC10M_25_GDS10_HTGL
VC10M_30,VC10M_30_GDS10_HTGL
VC10M_35,VC10M_35_GDS10_HTGL
VC10M_40,VC10M_40_GDS10_HTGL
VC10M_45,VC10M_45_GDS10_HTGL
VC10M_50,VC10M_50_GDS10_HTGL
VCON_10M,VCON_GDS10_HTGL
VIO3,VIO3_GDS10_SFC
VJPS_10M,VJPS_GDS10_HTGL
VMAX_10M,VMAX_GDS10_HTGL
VOLD_10M,VOLD_GDS10_HTGL
VORTP_ABS,VORTP_ABS_GDS10_*
VORTP_REL,VORTP_REL_GDS10_*
VTUR_10M,VTUR_GDS10_HTGL
VW10M_20,VW10M_20_GDS10_HTGL
VW10M_25,VW10M_25_GDS10_HTGL
VW10M_30,VW10M_30_GDS10_HTGL
VW10M_35,VW10M_35_GDS10_HTGL
VW10M_40,VW10M_40_GDS10_HTGL
VW10M_45,VW10M_45_GDS10_HTGL
VW10M_50,VW10M_50_GDS10_HTGL
VWIN_10M,VWIN_GDS10_HTGL
V_10M,V_GDS10_HTGL
V_10M_AV,V_GDS10_HTGL_ave*
W,W_GDS10_*
WSHEARL,WSHEARL_GDS10_GPMY
WSHEARM,WSHEARM_GDS10_GPMY
WSHEARU,WSHEARU_GDS10_GPMY
W_CL,W_G_GDS10_DBLY
W_G1,W_G_GDS10_DBLY
W_G2,W_G_GDS10_DBLY
W_I,W_I_GDS10_SFC
W_SNOW,W_SNOW_GDS10_SFC
W_SO,W_SO_GDS10_*
W_SO_ICE,W_SO_ICE_GDS10_*
Xe-133,Xe133_GDS10_*
Xe-133_BL,Xe133_GDS10_HTGL
Xe-133_DD,Xe133_DD_GDS10_SFC
Xe-133_WD,Xe133_WD_GDS10_SFC
Z0,Z0_GDS10_SFC
Z0LOC,Z0LOC_GDS10_SFC
ZHD,ZHD_GDS10_SFC
ZTD,ZTD_GDS10_SFC
ZWD,ZWD_GDS10_SFC
Zr-95,Zr95_GDS10_*
Zr-95_BL,Zr95_GDS10_HTGL
Zr-95_DD,Zr95_DD_GDS10_SFC
Zr-95_WD,Zr95_WD_GDS10_SFC
